Respondent,x1,x2,x3,x4,x5,x6
1,7,3,6,4,2,4
2,1,3,2,4,5,4
3,6,2,7,4,1,3
4,4,5,4,6,2,5
5,1,2,2,3,6,2
6,6,3,6,4,2,4
7,5,3,6,3,4,3
8,6,4,7,4,1,4
9,3,4,2,3,6,3
10,2,6,2,6,7,6
11,6,4,7,3,2,3
12,2,3,1,4,5,4
13,7,2,6,4,1,3
14,4,6,4,5,3,6
15,1,3,2,2,6,4
16,6,4,6,3,3,4
17,5,3,6,3,3,4
18,7,3,7,4,1,4
19,2,4,3,3,6,3
20,3,5,3,6,4,6
21,1,3,2,3,5,3
22,5,4,5,4,2,4
23,2,2,1,5,4,4
24,4,6,4,6,4,7
25,6,5,4,2,1,4
26,3,5,4,6,4,7
27,4,4,7,2,2,5
28,3,7,2,6,4,3
29,4,6,3,7,2,7
30,2,3,2,4,7,2
