Month ,Sales
1,742
2,697
3,776
4,898
5,1030
6,1107
7,1165
8,1216
9,1208
10,1131
11,971
12,783
13,741
14,700
15,774
16,932
17,1099
18,1223
19,1290
20,1349
21,1341
22,1296
23,1066
24,901
25,896
26,793
27,885
28,1055
29,1204
30,1326
31,1303
32,1436
33,1473
34,1453
35,1170
36,1023
37,951
38,861
39,938
40,1109
41,1274
42,1422
43,1486
44,1555
45,1604
46,1600
47,1403
48,1209
49,1030
50,1032
51,1126
52,1285
53,1468
54,1637
55,1611
56,1608
57,1528
58,1420
59,1119
60,1013
